  ofast:
Step    Time, s Interact/s  GFLOP/s
    0  7.771e-01  3.454e+08      7.9 *
    1  7.581e-01  3.541e+08      8.1 *
    2  7.581e-01  3.541e+08      8.1 *
    3  7.605e-01  3.529e+08      8.1 
    4  7.578e-01  3.542e+08      8.1 
    5  7.593e-01  3.535e+08      8.1 
    6  7.625e-01  3.520e+08      8.1 
    7  7.602e-01  3.531e+08      8.1 
    8  7.587e-01  3.538e+08      8.1 
    9  7.602e-01  3.531e+08      8.1

o1:
Step    Time, s Interact/s  GFLOP/s
    0  7.580e-01  3.541e+08      8.1 *
    1  7.569e-01  3.546e+08      8.2 *
    2  7.690e-01  3.490e+08      8.0 *
    3  7.976e-01  3.365e+08      7.7 
    4  7.988e-01  3.360e+08      7.7 
    5  8.118e-01  3.307e+08      7.6 
    6  8.058e-01  3.331e+08      7.7 
    7  7.788e-01  3.446e+08      7.9 
    8  7.566e-01  3.548e+08      8.2 
    9  8.009e-01  3.351e+08      7.7 

o2:
 Step    Time, s Interact/s  GFLOP/s
    0  7.911e-01  3.393e+08      7.8 *
    1  7.537e-01  3.561e+08      8.2 *
    2  7.670e-01  3.499e+08      8.0 *
    3  7.638e-01  3.514e+08      8.1 
    4  7.756e-01  3.461e+08      8.0 
    5  7.604e-01  3.530e+08      8.1 
    6  7.643e-01  3.512e+08      8.1 
    7  7.630e-01  3.518e+08      8.1 
    8  7.646e-01  3.511e+08      8.1 
    9  7.647e-01  3.510e+08      8.1 
o3:
 Step    Time, s Interact/s  GFLOP/s
    0  7.628e-01  3.519e+08      8.1 *
    1  7.945e-01  3.378e+08      7.8 *
    2  8.694e-01  3.087e+08      7.1 *
    3  7.896e-01  3.400e+08      7.8 
    4  7.622e-01  3.522e+08      8.1 
    5  7.583e-01  3.540e+08      8.1 
    6  7.578e-01  3.542e+08      8.1 
    7  7.576e-01  3.543e+08      8.1 
    8  7.583e-01  3.540e+08      8.1 
    9  7.611e-01  3.527e+08      8.1 


